Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),School Method
Strider,https://www.crunchbase.com/organization/strider,"Agriculture, Chemical, Mobile Apps","Belo Horizonte, Minas Gerais, Brazil",Strider is an AgTech company that develops technological innovations for the agricultural market.,"21,638",Latin America,$1M to $10M,Closed,2014-01-01,day,2018-03-26,day,,none,For Profit,https://strider.ag/en/,,https://www.facebook.com/strideragro,http://www.linkedin.com/company/strider,contato@strider.ag,+55 31 3564-2867,11,,"Strider is proud to be at the forefront of AgTech, helping to develop and take technology and agriculture together deep into the future. According to Forbes, Strider is one of the most innovative AgTech companies to come out in recent years. Strider’s continued growth and success are a testament to the ability and quality of its products utilized by farms all over the world. Today, the company follows more than 3,000 farms worldwide. From South America (Argentina, Bolivia, Brazil, Paraguay, Uruguay) to North America (Mexico, USA) and all the way to Australia and Mozambique. Strider is all over the world bringing technology and agriculture together, providing Ag Tech solutions that allow producers to make fast, quality, informed decisions resulting in higher productivity from their fields.",,,,,,,,,,,,,,"Agriculture and Farming, Apps, Mobile, Science and Engineering, Software",3,"Carlos Neto, Gabi Mendes, Luiz Tangari",11-50,2,M&A,2016-06-01,3000000,USD,3000000,Series A,3000000,USD,3000000,Series A,3807770,USD,3807770,3807770,USD,3807770,"Monashees, Qualcomm Ventures, Barn Investments",2,3,,Was Acquired,Strider acquired by Syngenta,https://www.crunchbase.com/acquisition/syngenta-acquires-strider--55946497,Syngenta,https://www.crunchbase.com/organization/syngenta,2018-03-26,day,,,,Acquisition,,Private,,,,,,,,,,,,,2020-09-15,,"22,511",65,1,,29,,,,,,,,
Eletrobras,https://www.crunchbase.com/organization/eletrobras,"Energy, Government, Renewable Energy, Solar","Rio De Janeiro, Rio de Janeiro, Brazil","Centrais Eletricas Brasileiras SA - Eletrobras is a Brazil-based holding company engaged in the electric power generation, and transmission.","21,689",Latin America,$1B to $10B,Active,1962-01-01,year,2008-11-07,day,,,For Profit,http://eletrobras.com/,https://www.twitter.com/eletrobras,https://www.facebook.com/eletrobras,https://www.linkedin.com/company/eletrobras,,,93,,"Centrais Eletricas Brasileiras SA - Eletrobras is a Brazil-based holding company engaged in the electric power generation, transmission, and distribution. The Company operates and maintains hydroelectric power plants, thermal power plants, nuclear power plants and wind/solar power plants.  The Company acts as an agent for managing and investing government funds related to the energy sector, such as the Global Reversion Reserve (RGR), Fuel Consumption Account (CCC) and Energy Development Account (CDE). The Company also manages government programs, such as the National Electric Energy Conservation Program (Procel), the National Program for the Universalization of Access and Use of Electricity (Luz Para Todos) and the Alternative Energy Sources Incentive Program (Proninfa).  In October 2013, the Company acquired a 50% stake in the share capital of Rouar SA, held by Administracion Nacional de Usinas y Transmisiones Electricas UTE. They also operate in the segments of commercialization and energy efficiency, as well as programs such as Procel, Luz para Todos (Light for All) and Proinfa.",,,,,,,,,,,,,,"Energy, Government and Military, Natural Resources, Sustainability",1,Getúlio Vargas,10001+,1,IPO,2019-12-30,7750000000,BRL,1928178702,Post-IPO Equity,7750000000,BRL,1928178702,Post-IPO Equity,7750000000,BRL,1928178702,7750000000,BRL,1928178702,,,,,,,,,,,,,,,,,Public,2008-11-07,,,,,,,,,EBR,https://www.crunchbase.com/ipo/eletrobras-ipo--98948d13,NYSE - New York Stock Exchange,,,"22,564",20,,,8,,,,,,,,
Beleza na Web,https://www.crunchbase.com/organization/belezanaweb-com-br,"Beauty, Cosmetics, E-Commerce, Retail","São Paulo, Sao Paulo, Brazil","Beleza na Web is an online beauty retailer that provides perfumes, skin care, makeup, body & bath and other beauty products.","21,703",Latin America,$1M to $10M,Active,2008-01-01,year,2019-08-12,day,,,For Profit,http://www.belezanaweb.com.br,http://twitter.com/belezanawebvip,http://www.facebook.com/belezanaweb,https://www.linkedin.com/company/beleza-na-web/,sac@belezanaweb.com.br,+55 11 3716-1662,2,,"Beleza na Web is an online beauty retailer that provides perfumes, skin care, makeup, body & bath and other beauty products. The company was named Best Cosmetics and Perfumery Store in Brazil 2012 and received the Duke's Choice Award Winners in Latin America in 2016  and 24th Cosmetic Current Award: Best Digital Point of Sale 2016 and 25th Cosmetic Current Award: Digital Point of Sale of the Year.  Beleza na Web was founded in 2008 and is headquartered in Sao Paulo, Brazil.",,,,,,,,,,,,,,"Commerce and Shopping, Consumer Goods",1,Alexandre Serodio,251-500,3,M&A,2015-06-16,30000000,USD,30000000,Series C,30000000,USD,30000000,Series C,45000000,USD,45000000,45000000,USD,45000000,"Tiger Global Management, Kaszek Ventures",,2,,Was Acquired,Beleza na Web acquired by Grupo Boticario,https://www.crunchbase.com/acquisition/grupo-boticário-acquires-belezanaweb-com-br--25e4b563,Grupo Boticario,https://www.crunchbase.com/organization/grupo-boticário,2019-08-12,day,,,,,,Private,,,,,,,,,,,,,,,"22,579",46,3,"209,692",24,,,,,,,,
Exact Sales,https://www.crunchbase.com/organization/exact-sales,"Information Technology, Marketing, SaaS, Sales, Software","Florianópolis, Santa Catarina, Brazil",Exact Sales develops and offers cloud-based sales and pre-sales software for boosting sales for small and medium-sized businesses.,"21,746",Latin America,$10M to $50M,Active,2015-02-04,day,,,,,For Profit,http://www.exactsales.com.br,https://www.twitter.com/exactsales,https://www.facebook.com/exactsales,https://www.linkedin.com/company/exact-sales/,contato@exactsales.com.br,+554830257750,3,,"Exact Sales develops and offers cloud-based sales and pre-sales software for boosting sales for small and medium-sized businesses. The company was founded by Felipe Roman and Theo Orosco on February 4, 2015, and is headquartered in Santa Carina, Brazil.",,,,,,,,,,,,,,"Information Technology, Sales and Marketing, Software",2,"Felipe Roman, Theo Orosco",101-250,3,Early Stage Venture,2019-10-17,15000000,BRL,3603517,Series A,15000000,BRL,3603517,Series A,20000000,BRL,5160922,20000000,BRL,5160922,"Astella Investimentos, CVENTURES",2,2,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,1,"22,622",53,,,,,,,,,,,
Repassa,https://www.crunchbase.com/organization/repassa,"Communities, E-Commerce, Fashion","São Paulo, Sao Paulo, Brazil",Repassa is an online platform where people can buy and sell clothes.,"21,788",Latin America,$1M to $10M,Active,2014-01-01,year,,,,,For Profit,http://repassa.com.br,http://twitter.com/repassabr,http://www.facebook.com/repassa,https://www.linkedin.com/company/repassa/,contato@repassa.com.br,+55 (011) 94195-9566,2,,"Repassa is an online platform where people can buy and sell clothes. It has emerged as a guest-only community that unites buyers, sellers and rewards customers who invite friends and recommend products. Repassa was founded in 2014 and is based in São Paulo, Brazil.",,,,,,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design",1,Tadeu Almeida,1-10,2,Early Stage Venture,2020-09-08,10000000,BRL,1864836,Series A,10000000,BRL,1864836,Series A,10000000,BRL,1864836,10000000,BRL,1864836,"Redpoint eventures, Wharton Alumni Angels",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"22,665",80,,,13,,,,,,,,
BossaBox,https://www.crunchbase.com/organization/bossa-box,"Enterprise Software, Human Resources, Information Technology, Professional Networking, SaaS","Brasil, Sao Paulo, Brazil",BossaBox unleashes innovation in Large Enterprises through a Market Network of Digital Talent.,"21,954",Latin America,$1M to $10M,Active,2017-01-01,year,,,,,For Profit,http://bossabox.com,,https://www.facebook.com/bossabox,https://www.linkedin.com/company/bossabox/,,,1,,,,,,,,,,,,,,,,"Administrative Services, Community and Lifestyle, Information Technology, Professional Services, Software",5,"André de Castro Abreu, Eduardo Thomas Koller, Giovanni Salvador, João Zanocelo, Jéssica Muniz",11-50,2,Seed,2020-11-03,8000000,BRL,1389757,Seed,8000000,BRL,1389757,Seed,9400000,BRL,1754234,9400000,BRL,1754234,"Redpoint eventures, Astella Investimentos, Diego Gomes",2,3,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"22,834",17,,,,,,,,,,,
Vai.Car,https://www.crunchbase.com/organization/vai-car,"Apps, Information Technology, Rental","São Paulo, Sao Paulo, Brazil",Vai.Car is a startup from Brazil that allows users to rent one of its cars through its app.,"21,961",Latin America,$1M to $10M,Active,2017-01-01,year,,,,,For Profit,https://vai.car/,,https://www.facebook.com/pg/vai.car.brasil/,https://www.linkedin.com/company/vaicar/?viewAsMember=true,falecom@vai.car,+55 11 3181-8989,1,,Vai.Car is a startup from Brazil that allows users to rent one of its cars through its app.,,,,,,,,,,,,,,"Apps, Commerce and Shopping, Information Technology, Software",3,"Apoorv Gupta, Fernando Fiuza, JP Galvao",11-50,1,,2020-03-02,85000000,USD,85000000,Venture - Series Unknown,85000000,USD,85000000,Venture - Series Unknown,85000000,USD,85000000,85000000,USD,85000000,"XP Investimentos, Bossa Nova Investimentos",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"22,842",40,,,13,,,,,,,,
Avante,https://www.crunchbase.com/organization/avante,"Credit, Finance, Financial Services, FinTech, Software","São Paulo, Sao Paulo, Brazil",Avante provides financial solutions for the micro-entrepreneur’s needs in Brazil.,"22,107",Latin America,$10M to $50M,Active,2012-01-01,year,,,,,For Profit,http://www.avante.com.vc,https://www.twitter.com/avantecomvc,https://www.facebook.com/avantecomvc,https://br.linkedin.com/company/avante-com-vc/,avante@avante.com.vc,+55 11 3744-1710,1,,"Avante provides financial solutions for the micro-entrepreneur’s needs in Brazil. It offers microcredit, credit card payment acceptance, and digital banking services through its agents.  Avante offers its services through its agents. Bernardo Bonjean and Davi Viana founded it in 2012, with its headquarters in São Paulo in Brazil.",,,,,,,,,,,,,,"Financial Services, Lending and Investments, Software",2,"Bernardo Bonjean, Davi Viana",101-250,3,Late Stage Venture,2017-07-19,12000000,USD,12000000,Series C,12000000,USD,12000000,Series C,18827579,USD,18827579,18827579,USD,18827579,"Vox Capital, Gentera",2,2,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"22,996",43,1,,27,,,,,,,,
Involves,https://www.crunchbase.com/organization/involves,Enterprise Software,"Florianópolis, Santa Catarina, Brazil","Disrupting retail execution with Involves Stage, the leading SaaS for retail execution monitoring and intelligence in Latin America.","22,121",Latin America,$10M to $50M,Active,2009-06-01,day,,,,,For Profit,http://www.involves.com,,https://www.facebook.com/involves,https://www.linkedin.com/company/involves/,contato@involves.com,+55 48 3733-0500,1,,"Involves is a Brazilian SaaS company focused on field force automation and retail execution solutions. Its flagship product is Involes Stage (known before as Agile Promoter), a management software for retail execution.",,,,,,,,,,,,,,Software,6,"André Krumennauer, Gabriel Menezes, Guilherme Hobold, Leonardo Stahelin Coelho, Pedro Galoppini, Rodrigo Lamin",251-500,1,,2020-02-05,23500000,BRL,5548734,Venture - Series Unknown,23500000,BRL,5548734,Venture - Series Unknown,23500000,BRL,5548734,23500000,BRL,5548734,Bridge One,1,1,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"23,010",49,,,20,0,1,,Scientific and technological services,,,,
Psicologia Viva (Psyalive),https://www.crunchbase.com/organization/psicologia-viva,"Health Care, Online Portals, Psychology, Wellness","Belo Horizonte, Minas Gerais, Brazil",Psicologia Viva is an online portal with virtual offices that approach the psychologist and the patient through the use of technology.,"22,367",Latin America,Less than $1M,Active,2015-01-01,day,,,,,For Profit,https://www.psicologiaviva.com.br/,https://twitter.com/psicologia_viva,https://www.facebook.com/psyalivelatam,https://www.linkedin.com/company/psicologia-viva/,contato@psicologiaviva.com.br,,30,,Psicologia Viva is an online portal with virtual offices that approach the psychologist and the patient through the use of technology. The company aims to connect patients with psychologists in all parts of the world and helping companies to have more productive employees through an emotional health program.,,,,,,,,,,,,,,"Health Care, Internet Services",3,"Bráulio Bonoto, Fabiano Carrijo Justino, Paulo Justino",51-100,2,Seed,2020-05-15,1300000,USD,1300000,Seed,1300000,USD,1300000,Seed,1300000,USD,1300000,1300000,USD,1300000,"FCJ Belo Horizonte, Neurone Ventures",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"23,264",75,,,,,,,,,,,
Dolado,https://www.crunchbase.com/organization/dolado,"B2B, FinTech, Marketplace, SaaS","São Paulo, Sao Paulo, Brazil",Dolado is a SaaS platform and B2B marketplace that provides 360-degree business solutions for SMBs in Latam.,"22,383",Latin America,,Active,2020-06-01,day,,,,,For Profit,http://www.compredolado.com.br,,https://www.facebook.com/compredolado/,https://www.linkedin.com/company/compredolado/,guilherme@compredolado.com.br,,,,"Dolado allows SMBs to have access to the technologies that are only available to more sophisticated players. By doing this, it empowers small companies to bring more efficiency on the way they sell, buy and manage their business.  To improve the way merchants sells, Dolado provides a digital catalog that allows the setup of a digital storefront in less than 3 minutes. On the buying side, it offers a B2B Marketplace that connects merchants to top wholesalers and give them access to the best deals. Dolado also offers a Digital Bookkeeping application that serves as a digital ledger to help business owners easily record sales, expenses, and cash transactions in one place.",,,,,,,,,,,,,,"Commerce and Shopping, Financial Services, Other, Software",2,"Guilherme Freire, Marcelo Loureiro",11-50,1,Seed,2020-12-01,2200000,USD,2200000,Seed,2200000,USD,2200000,Seed,2200000,USD,2200000,2200000,USD,2200000,"Global Founders Capital, Valor Capital Group, Norte Ventures, Provence Capital",1,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"23,281",21,,,,,,,,,,,
Quicko,https://www.crunchbase.com/organization/quicko,"Apps, Artificial Intelligence, Consulting, Internet, Software","São Paulo, Sao Paulo, Brazil","Maas, Mobile App, Navigation App, Big Data, Artificial Intelligence, Mobility","22,459",Latin America,$1M to $10M,Active,2018-09-01,month,,,,,For Profit,https://www.quicko.com.br,https://twitter.com/quickoapp,https://www.facebook.com/quickoapp,https://www.linkedin.com/company/13982990,falecom@quicko.com.br,,19,,"Quicko is a Big Data and Artificial Intelligence startup for Smarter Mobility. Our first product is an intermodal navigation app that provides users with a convenient, intermodal and seamless commuting experience. We work as a service for our app users and as Market Place for MaaS startups.",,,,,,,,,,,,,,"Apps, Artificial Intelligence, Data and Analytics, Internet Services, Professional Services, Science and Engineering, Software",6,"João Lanza, Leonardo Couto Vianna, Libano Barroso, Lucio Otavio Ferreira, Mauricio Quinze, Pedro Somma",11-50,1,Seed,2019-09-17,10000000,USD,10000000,Seed,10000000,USD,10000000,Seed,10000000,USD,10000000,10000000,USD,10000000,J2L Partners,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"23,360",56,,,17,,,,,,,,
